********************************************************************************
Field Output Report, written Wed Apr 16 15:17:29 2025

Source 1
---------

   ODB: C:/lnms/Vid/cross-hole/cross-hole-U.odb
   Step: loading
   Frame: Increment      0: Step Time =    0.000

Loc 1 : Integration point values from source 1

Output sorted by column "Element Label".

Field Output reported at integration points for region: SPECIMEN-1.Region_1

          Element              Int            S.S11            S.S22            S.S33            S.S12
            Label               Pt           @Loc 1           @Loc 1           @Loc 1           @Loc 1
-------------------------------------------------------------------------------------------------------
               11                2       106.769684       138.645355               0.       86.9186935
               11                3       99.5245667       136.485046               0.       79.4928894
               11                4       92.5729599       111.821022               0.       86.7643509
               12                1       106.481987       101.398857               0.       87.4024506
               12                2       143.394608       120.010246               0.       89.2408371
               12                3       134.004150       110.013191               0.       80.3226547
               12                4       170.500580       127.262543               0.       80.2947845
               13                1       162.928680       83.9608536               0.       43.3628044
               13                2       177.149918       88.8737488               0.       24.2701092
               13                3       108.590286       56.7830544               0.       52.1457367
               13                4       128.601776       64.5497437               0.       33.6269341
               14                1       114.210747       128.710800               0.       19.0615311
               14                2       84.3344727       134.925125               0.       10.8621674
               14                3       109.372864       138.054169               0.       23.8989582
               14                4       82.8598251       141.180115               0.       18.5139465
               15                1       39.2183266       138.667175               0.       27.5142612
               15                2       67.5181046       178.141998               0.       24.1477699
               15                3       39.9696388       124.798950               0.       47.4147797
               15                4       67.1633301       164.483978               0.       44.8086014
               16                1       127.262543       170.500580               0.       80.2947845
               16                2       120.010246       143.394608               0.       89.2408371
               16                3       110.013191       134.004150               0.       80.3226547
               16                4       101.398857       106.481987               0.       87.4024506
               17                1       111.821022       92.5729599               0.       86.7643509
               17                2       138.645355       106.769684               0.       86.9186935
               17                3       136.485046       99.5245667               0.       79.4928894
               17                4       162.143433       112.523346               0.       78.7190781
               18                1       164.483978       67.1633301               0.       44.8086014
               18                2       178.141998       67.5181046               0.       24.1477699
               18                3       124.798950       39.9696388               0.       47.4147797
               18                4       138.667175       39.2183266               0.       27.5142612
               19                1       141.180115       82.8598251               0.       18.5139465
               19                2       134.925125       84.3344727               0.       10.8621674
               19                3       138.054169       109.372864               0.       23.8989582
               19                4       128.710800       114.210747               0.       19.0615311
               20                1       64.5497437       128.601776               0.       33.6269341
               20                2       88.8737488       177.149918               0.       24.2701092
               20                3       56.7830544       108.590286               0.       52.1457367
               20                4       83.9608536       162.928680               0.       43.3628044
               21                1       170.500580       127.262543               0.      -80.2947845
               21                2       143.394608       120.010246               0.      -89.2408371
               21                3       134.004150       110.013191               0.      -80.3226547
               21                4       106.481987       101.398857               0.      -87.4024506
               22                1       92.5729599       111.821022               0.      -86.7643509
               22                2       106.769684       138.645355               0.      -86.9186935
               22                3       99.5245667       136.485046               0.      -79.4928894
               22                4       112.523346       162.143433               0.      -78.7190781
               23                1       67.1633301       164.483978               0.      -44.8086014
               23                2       67.5181046       178.141998               0.      -24.1477699
               23                3       39.9696388       124.798950               0.      -47.4147797
               23                4       39.2183266       138.667175               0.      -27.5142612
               24                1       82.8598251       141.180115               0.      -18.5139465
               24                2       84.3344727       134.925125               0.      -10.8621674
               24                3       109.372864       138.054169               0.      -23.8989582
