********************************************************************************
Field Output Report, written Thu Apr 24 12:36:35 2025

Source 1
---------

   ODB: C:/lnms/Vid/cross-hole/PopravljeniRP2.odb
   Step: loading
   Frame: Increment      0: Step Time =    0.000

Loc 1 : Integration point values from source 1

Output sorted by column "Element Label".

Field Output reported at integration points for region: SPECIMEN-1.Region_1

          Element              Int            S.S11            S.S22            S.S33            S.S12
            Label               Pt           @Loc 1           @Loc 1           @Loc 1           @Loc 1
-------------------------------------------------------------------------------------------------------
                8                1   1.19844421E+03   7.86700977E+03               0.   1.84125244E+03
                8                2   2.29450244E+03   8.61855371E+03               0.   3.06980957E+03
                8                3       693.150330   5.20548486E+03               0.   1.96412793E+03
                8                4   1.48056763E+03   5.63766260E+03               0.   2.88484375E+03
                9                1    2.3391875E+03   5.22874072E+03               0.   3.37281934E+03
                9                2   2.36282227E+03   5.10451709E+03               0.   3.98537622E+03
                9                3   4.31310205E+03   5.81325635E+03               0.   3.35325684E+03
                9                4   4.44154883E+03   5.72903271E+03               0.   3.92134229E+03
               10                1   4.70058887E+03   2.43913428E+03               0.   1.84592957E+03
               10                2   10.2423818E+03   4.10150049E+03               0.   1.64387561E+03
               10                3   4.27184326E+03   2.30444580E+03               0.       688.235901
               10                4   9.45733398E+03   3.85205151E+03               0.       71.0765762
               11                1   6.94127051E+03   16.8095957E+03               0.   5.50460547E+03
               11                2   7.06717187E+03   14.2779971E+03               0.   6.74473682E+03
               11                3   5.00452783E+03   12.1998135E+03               0.   4.23581885E+03
               11                4   4.98219824E+03   9.77121582E+03               0.   5.17748926E+03
               12                1   5.23025391E+03   8.64214453E+03               0.   4.79189551E+03
               12                2   7.52190771E+03   8.97669824E+03               0.   5.36921484E+03
               12                3   6.79896289E+03   9.33636426E+03               0.   4.22658936E+03
               12                4   9.32877832E+03   9.85912988E+03               0.   4.55428418E+03
               13                1   11.8308965E+03   6.55103955E+03               0.       948.353027
               13                2   12.3291758E+03   6.48407764E+03               0.      -107.216560
               13                3   8.29099023E+03   5.40221826E+03               0.       417.697876
               13                4   8.55196484E+03   5.32065674E+03               0.      -358.313416
               14                1   8.73055957E+03   11.2950029E+03               0.  -2.30535693E+03
               14                2   4.59599512E+03   10.0457852E+03               0.  -3.17714673E+03
